,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
461,Emile Smith Rowe,MFFW,Arsenal,21,2000,21.3,65,3.05,49,4,5,4,3,0,6,0.28,5,1,0,0,0,0,Matches
462,Cédric Soares,DF,Arsenal,29,1991,16.5,36,2.18,25,9,0,0,1,1,2,0.12,1,1,0,0,0,0,Matches
463,Tomáš Souček,MF,West Ham,26,1995,34,34,1,29,0,0,3,1,1,4,0.12,4,0,0,0,0,0,Matches
464,Boubakary Soumaré,MF,Leicester City,22,1999,12.2,15,1.23,12,0,2,0,0,1,2,0.16,2,0,0,0,0,0,Matches
465,Çağlar Söyüncü,DF,Leicester City,25,1996,27.7,11,0.4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
466,Tony Springett,FWMF,Norwich City,18,2002,1.6,3,1.91,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
467,Jason Steele,GK,Brighton,30,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
468,Jed Steer,GK,Aston Villa,28,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
469,Zack Steffen,GK,Manchester City,26,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
470,Dale Stephens,MF,Burnley,32,1989,1.4,2,1.45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
471,Jack Stephens,DF,Southampton,27,1994,9,6,0.67,5,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
472,Raheem Sterling,FW,Manchester City,26,1994,23.6,90,3.81,69,1,11,3,5,1,11,0.47,5,0,0,2,4,0,Matches
473,Finley Stevens,DF,Brentford,18,2003,0.2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
474,John Stones,DF,Manchester City,27,1994,12.4,14,1.13,12,1,0,1,0,0,1,0.08,0,0,0,1,0,0,Matches
475,Pascal Struijk,DF,Leeds United,21,1999,22.8,19,0.83,13,0,0,2,1,3,2,0.09,0,0,0,1,0,1,Matches
476,Crysencio Summerville,MFFW,Leeds United,19,2001,1.4,2,1.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
477,Jakob Sørensen,MFDF,Norwich City,23,1998,6.7,2,0.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
478,Japhet Tanganga,DF,Tottenham,22,1999,8.2,3,0.37,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
479,Matt Targett,DF,Aston Villa,25,1995,15.9,27,1.7,22,5,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
480,Matt Targett,DF,Newcastle Utd,25,1995,16,34,2.12,15,14,0,1,4,0,1,0.06,0,1,0,0,0,0,Matches
481,James Tarkowski,DF,Burnley,28,1992,34.5,23,0.67,20,0,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches
482,Nuno Tavares,DF,Arsenal,21,2000,13.1,26,1.99,18,0,3,1,2,2,3,0.23,2,0,0,1,0,0,Matches
483,Charlie Taylor,DF,Burnley,27,1993,30.3,41,1.35,32,2,1,0,6,0,6,0.2,4,1,0,0,1,0,Matches
484,Nathan Tella,MFFW,Southampton,22,1999,8.9,18,2.01,12,0,2,0,4,0,3,0.34,2,0,0,0,1,0,Matches
485,Alex Telles,DF,Manchester Utd,28,1992,18.4,45,2.44,24,18,0,1,1,1,5,0.27,0,4,0,0,1,0,Matches
486,Luke Thomas,DF,Leicester City,20,2001,21.2,20,0.94,14,4,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
487,Dominic Thompson,DF,Brentford,21,2000,1.6,1,0.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
488,Youri Tielemans,MF,Leicester City,24,1997,29.2,84,2.87,65,4,4,4,2,5,12,0.41,10,0,0,1,0,1,Matches
489,Kieran Tierney,DF,Arsenal,24,1997,21.3,38,1.79,33,2,1,1,1,0,3,0.14,3,0,0,0,0,0,Matches
490,Takehiro Tomiyasu,DF,Arsenal,22,1998,18.7,30,1.61,25,1,0,0,0,4,4,0.21,3,0,0,0,0,1,Matches
491,James Tomkins,DF,Crystal Palace,32,1989,6.1,3,0.49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
492,Ivan Toney,FW,Brentford,25,1996,32.3,80,2.48,53,1,4,9,11,2,10,0.31,6,0,1,0,3,0,Matches
493,Ferrán Torres,FW,Manchester City,21,2000,3.4,5,1.49,4,0,0,1,0,0,2,0.59,2,0,0,0,0,0,Matches
494,Cenk Tosun,FW,Everton,30,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
495,Andros Townsend,MF,Everton,30,1991,16.2,54,3.34,38,8,1,2,4,1,4,0.25,4,0,0,0,0,0,Matches
496,Adama Traoré,FW,Wolves,25,1996,11.9,50,4.22,30,0,12,0,6,2,2,0.17,1,0,0,0,1,0,Matches
497,Bertrand Traoré,MFFW,Aston Villa,25,1995,2.4,11,4.5,6,0,3,1,1,0,2,0.82,0,0,1,0,1,0,Matches
498,Trézéguet,FW,Aston Villa,26,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
499,Francisco Trincão,FWMF,Wolves,21,1999,14.8,39,2.63,24,3,9,0,2,1,2,0.13,2,0,0,0,0,0,Matches
500,Kieran Trippier,DF,Newcastle Utd,30,1990,4.8,9,1.89,1,8,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
501,William Troost-Ekong,DF,Watford,27,1993,15.4,4,0.26,3,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
502,Leandro Trossard,FWMF,Brighton,26,1994,31.2,91,2.92,65,4,15,4,3,0,10,0.32,6,1,2,0,1,0,Matches
503,Kostas Tsimikas,DF,Liverpool,25,1996,9.7,37,3.8,24,13,0,0,0,0,3,0.31,2,1,0,0,0,0,Matches
504,Axel Tuanzebe,DF,Aston Villa,23,1997,5.6,1,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
505,Ozan Tufan,MF,Watford,26,1995,3.7,7,1.89,6,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
506,Christos Tzolis,FWMF,Norwich City,19,2002,3.7,11,2.95,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
507,Yan Valery,DF,Southampton,22,1999,4.1,1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
508,Raphaël Varane,DF,Manchester Utd,28,1993,20.3,10,0.49,9,0,0,0,0,1,2,0.1,2,0,0,0,0,0,Matches
509,Jamie Vardy,FW,Leicester City,34,1987,20.1,38,1.89,30,0,2,3,1,2,5,0.25,2,0,2,1,0,0,Matches
510,Joël Veltman,DF,Brighton,29,1992,31.9,36,1.13,29,2,1,1,2,1,2,0.06,2,0,0,0,0,0,Matches
511,Jannik Vestergaard,DF,Leicester City,28,1992,6.3,3,0.48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
512,Nikola Vlašić,FWMF,West Ham,23,1997,6.2,18,2.89,14,0,2,0,2,0,0,0,0,0,0,0,0,0,Matches
513,Matěj Vydra,FW,Burnley,29,1992,7.5,12,1.59,11,0,0,0,1,0,3,0.4,3,0,0,0,0,0,Matches
514,Theo Walcott,MFFW,Southampton,32,1989,4.2,4,0.95,4,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
515,Kyle Walker,DF,Manchester City,31,1990,19.5,36,1.85,32,0,0,1,3,0,5,0.26,4,0,0,0,1,0,Matches
516,Kyle Walker-Peters,DF,Southampton,24,1997,29.3,61,2.09,42,0,6,3,7,3,8,0.27,5,0,0,0,2,1,Matches
517,Aaron Wan-Bissaka,DF,Manchester Utd,23,1997,19.9,31,1.56,25,0,3,1,1,1,1,0.05,1,0,0,0,0,0,Matches
518,Danny Ward,GK,Leicester City,28,1993,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,Matches
519,Joel Ward,DF,Crystal Palace,31,1989,27.6,16,0.58,14,2,0,0,0,0,2,0.07,2,0,0,0,0,0,Matches
520,James Ward-Prowse,MF,Southampton,26,1994,35.7,113,3.16,55,51,0,3,1,3,7,0.2,3,4,0,0,0,0,Matches
521,Ollie Watkins,FW,Aston Villa,25,1995,32.8,72,2.2,51,0,6,7,4,4,8,0.24,3,0,1,2,2,0,Matches
522,Adam Webster,DF,Brighton,26,1995,15.9,10,0.63,10,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
523,Wout Weghorst,FW,Burnley,28,1992,16.1,28,1.74,20,0,3,1,3,1,5,0.31,4,0,1,0,0,0,Matches
524,Danny Welbeck,FW,Brighton,30,1990,16.4,36,2.19,27,0,0,4,5,0,4,0.24,2,0,0,1,1,0,Matches
525,Timo Werner,FWMF,Chelsea,25,1996,14.3,26,1.82,19,0,4,3,0,0,4,0.28,3,0,0,1,0,0,Matches
526,Ashley Westwood,MF,Burnley,31,1990,25.4,55,2.16,33,17,1,2,1,1,7,0.28,5,2,0,0,0,0,Matches
527,Ben White,DF,Arsenal,23,1997,32,25,0.78,18,1,0,4,1,1,1,0.03,1,0,0,0,0,0,Matches
528,Brandon Williams,DF,Norwich City,20,2000,23.6,31,1.32,27,0,0,0,3,1,2,0.08,1,0,0,0,0,1,Matches
529,Neco Williams,DF,Liverpool,20,2001,0.1,2,22.5,1,0,1,0,0,0,2,22.5,1,0,1,0,0,0,Matches
530,Joe Willock,MF,Newcastle Utd,21,1999,22.6,46,2.03,29,0,9,1,5,2,4,0.18,1,0,1,0,2,0,Matches
531,Callum Wilson,FW,Newcastle Utd,29,1992,15.4,20,1.3,18,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
532,Harry Winks,MF,Tottenham,25,1996,10.1,23,2.27,17,3,1,0,2,0,4,0.39,4,0,0,0,0,0,Matches
533,Yoane Wissa,FWMF,Brentford,24,1996,14.3,19,1.33,13,0,1,1,4,0,4,0.28,2,0,0,1,1,0,Matches
534,Chris Wood,FW,Newcastle Utd,29,1991,14.7,21,1.42,16,0,2,2,1,0,2,0.14,1,0,0,0,1,0,Matches
535,Chris Wood,FW,Burnley,29,1991,15.2,21,1.38,16,0,1,2,2,0,2,0.13,2,0,0,0,0,0,Matches
536,Freddie Woodman,GK,Newcastle Utd,24,1997,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
537,Granit Xhaka,MFDF,Arsenal,28,1992,25.9,79,3.06,72,2,2,1,0,2,3,0.12,3,0,0,0,0,0,Matches
538,Andriy Yarmolenko,FW,West Ham,31,1989,3.5,7,1.99,4,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
539,Ashley Young,DFFW,Aston Villa,36,1985,13.9,22,1.58,16,3,1,0,1,1,4,0.29,2,1,1,0,0,0,Matches
540,Nathan Young-Coombes,FW,Brentford,18,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
541,Wilfried Zaha,FW,Crystal Palace,28,1992,30.7,104,3.39,73,0,14,8,8,1,12,0.39,6,0,3,2,1,0,Matches
542,Christoph Zimmermann,DF,Norwich City,28,1993,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
543,Oleksandr Zinchenko,DF,Manchester City,24,1996,11.6,42,3.61,33,4,2,1,1,1,10,0.86,7,0,1,1,0,1,Matches
544,Hakim Ziyech,FWMF,Chelsea,28,1993,14.7,64,4.37,45,5,6,4,3,1,7,0.48,6,0,1,0,0,0,Matches
545,Kurt Zouma,DF,West Ham,26,1994,23.1,6,0.26,5,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
546,Martin Ødegaard,MF,Arsenal,22,1998,30.9,134,4.33,105,13,6,7,2,1,12,0.39,12,0,0,0,0,0,Matches
