,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
349,João Moutinho,MF,Wolves,34,1986,33,68,2.06,44,18,1,2,0,3,4,0.12,3,1,0,0,0,0,Matches
350,Bali Mumba,DF,Norwich City,19,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
351,Jacob Murphy,FWDF,Newcastle Utd,26,1995,16.4,45,2.75,34,2,4,4,1,0,5,0.31,2,0,0,2,1,0,Matches
352,Enock Mwepu,MFFW,Brighton,23,1998,11.1,22,1.99,17,0,0,2,3,0,7,0.63,6,0,0,0,1,0,Matches
353,Vitaliy Mykolenko,DF,Everton,22,1999,11.7,14,1.19,8,4,0,0,1,1,3,0.26,1,1,0,0,1,0,Matches
354,Marvelous Nakamba,MF,Aston Villa,27,1994,10,6,0.6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
355,Wilfred Ndidi,MFDF,Leicester City,24,1996,18,14,0.78,9,0,0,3,1,1,2,0.11,1,0,0,1,0,0,Matches
356,Tanguy Ndombele,MF,Tottenham,24,1996,5.4,13,2.42,10,0,1,1,1,0,1,0.19,1,0,0,0,0,0,Matches
357,Reiss Nelson,FW,Arsenal,21,1999,0.2,3,13.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
358,Pedro Neto,FWMF,Wolves,21,2000,5.2,23,4.44,13,4,2,2,2,0,1,0.19,1,0,0,0,0,0,Matches
359,Rúben Neves,MF,Wolves,24,1997,29.6,55,1.86,45,2,1,3,2,2,3,0.1,3,0,0,0,0,0,Matches
360,Jeremy Ngakia,DF,Watford,20,2000,10,12,1.2,8,2,0,1,1,0,1,0.1,1,0,0,0,0,0,Matches
361,Saúl Ñíguez,MFDF,Chelsea,26,1994,5.3,8,1.5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
362,Eddie Nketiah,FW,Arsenal,22,1999,9.3,23,2.48,15,0,2,3,1,2,4,0.43,1,0,0,1,0,2,Matches
363,Nicolas Nkoulou,DF,Watford,31,1990,1.9,1,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
364,Mark Noble,MF,West Ham,34,1987,3.7,5,1.36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
365,Mathias Normann,MF,Norwich City,25,1996,18.3,34,1.86,14,5,5,3,4,3,3,0.16,3,0,0,0,0,0,Matches
366,Christian Nørgaard,MF,Brentford,27,1994,33.9,49,1.44,43,0,3,1,1,1,6,0.18,5,0,1,0,0,0,Matches
367,Angelo Ogbonna,DF,West Ham,33,1988,10.2,2,0.2,2,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
368,Michael Olise,FWMF,Crystal Palace,19,2001,12.7,38,3,32,3,1,1,1,0,7,0.55,6,0,0,1,0,0,Matches
369,Robin Olsen,GK,Aston Villa,31,1990,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,Matches
