Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
31,Eric Bailly,DF,Manchester Utd,27,1994,4,3,217,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Folarin Balogun,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.35,0,0.35,0.35,0.35,Matches
33,Patrick Bamford,FW,Leeds United,27,1993,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,3.9,3.9,1,4.9,0.63,0.15,0.78,0.63,0.78,Matches
34,Shandon Baptiste,MF,Brentford,23,1998,22,9,910,10.1,1,1,1,0,0,2,1,0.1,0.1,0.2,0.1,0.2,0.7,0.7,0.5,1.2,0.07,0.05,0.12,0.07,0.12,Matches
35,Ross Barkley,MF,Chelsea,27,1993,6,1,179,2,1,0,1,0,0,0,0,0.5,0,0.5,0.5,0.5,1.2,1.2,0.7,1.9,0.6,0.33,0.94,0.6,0.94,Matches
36,Ashley Barnes,FW,Burnley,31,1989,23,8,808,9,1,0,0,1,1,4,0,0.11,0,0.11,0,0,1.8,1,1.6,2.6,0.2,0.18,0.38,0.11,0.29,Matches
37,Harvey Barnes,FWMF,Leicester City,23,1997,32,24,2101,23.3,6,10,6,0,0,2,0,0.26,0.43,0.69,0.26,0.69,6.8,6.8,4,10.8,0.29,0.17,0.46,0.29,0.46,Matches
38,Lewis Bate,MF,Leeds United,18,2002,3,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
39,Mads Bech Sørensen,DF,Brentford,22,1999,11,9,835,9.3,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.04,0.05,0.01,0.05,Matches
40,Jan Bednarek,DF,Southampton,25,1996,31,30,2629,29.2,4,0,4,0,0,10,0,0.14,0,0.14,0.14,0.14,2.4,2.4,0.6,3,0.08,0.02,0.1,0.08,0.1,Matches
41,Donny van de Beek,MF,Manchester Utd,24,1997,8,0,75,0.8,1,0,1,0,0,0,0,1.2,0,1.2,1.2,1.2,0.7,0.7,0.5,1.2,0.88,0.58,1.46,0.88,1.46,Matches
42,Donny van de Beek,MF,Everton,24,1997,7,5,483,5.4,1,0,1,0,0,1,0,0.19,0,0.19,0.19,0.19,0.9,0.9,0.1,1,0.17,0.01,0.18,0.17,0.18,Matches
43,Asmir Begović,GK,Everton,34,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Saïd Benrahma,FWMF,West Ham,25,1995,32,26,2168,24.1,8,6,8,0,0,0,0,0.33,0.25,0.58,0.33,0.58,5.1,5.1,3.2,8.3,0.21,0.13,0.35,0.21,0.35,Matches
45,Rodrigo Bentancur,MF,Tottenham,24,1997,17,16,1361,15.1,0,4,0,0,0,5,0,0,0.26,0.26,0,0.26,0.9,0.9,2.3,3.2,0.06,0.15,0.21,0.06,0.21,Matches
46,Christian Benteke,FW,Crystal Palace,30,1990,25,11,1145,12.7,4,1,4,0,0,3,0,0.31,0.08,0.39,0.31,0.39,5.4,5.4,1.1,6.5,0.42,0.09,0.51,0.42,0.51,Matches
47,Jóhann Berg Guðmundsson,MF,Burnley,30,1990,18,13,1102,12.2,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,1.7,1.7,0.3,2,0.14,0.03,0.16,0.14,0.16,Matches
48,Steven Bergwijn,FWMF,Tottenham,23,1997,25,4,565,6.3,3,1,3,0,0,1,0,0.48,0.16,0.64,0.48,0.64,3.1,3.1,0.7,3.7,0.49,0.11,0.59,0.49,0.59,Matches
49,Ryan Bertrand,DF,Leicester City,31,1989,4,4,337,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.08,0.08,0,0.08,Matches
50,Mads Bidstrup,MF,Brentford,20,2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
51,Yves Bissouma,MF,Brighton,24,1996,26,25,2111,23.5,1,2,1,0,0,10,0,0.04,0.09,0.13,0.04,0.13,0.9,0.9,0.8,1.7,0.04,0.03,0.07,0.04,0.07,Matches
52,Willy Boly,DF,Wolves,30,1991,10,10,900,10,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
53,Jarrod Bowen,FW,West Ham,24,1996,36,34,2983,33.1,12,10,12,0,0,6,0,0.36,0.3,0.66,0.36,0.66,11.1,11.1,5.7,16.8,0.34,0.17,0.51,0.34,0.51,Matches
54,Jarrad Branthwaite,DF,Everton,19,2002,6,4,388,4.3,1,0,1,0,0,0,1,0.23,0,0.23,0.23,0.23,0.4,0.4,0,0.4,0.1,0,0.1,0.1,0.1,Matches
